[name_128_129]
ConfigVer=20260320_898554498
IC2603=中证500 2603
IC2604=中证500 2604
IC2606=中证500 2606
IC2609=中证500 2609
IC9999=中证500 主连
ICLX0=中证500 当月
ICLX1=中证500 下月
ICLX2=中证500 下季
ICLX3=中证500 隔季
IF2603=沪深300 2603
IF2604=沪深300 2604
IF2606=沪深300 2606
IF2609=沪深300 2609
IF9999=沪深300 主连
IFLX0=沪深300 当月
IFLX1=沪深300 下月
IFLX2=沪深300 下季
IFLX3=沪深300 隔季
IH2603=上证50 2603
IH2604=上证50 2604
IH2606=上证50 2606
IH2609=上证50 2609
IH9999=上证50 主连
IHLX0=上证50 当月
IHLX1=上证50 下月
IHLX2=上证50 下季
IHLX3=上证50 隔季
IM2603=中证1000 2603
IM2604=中证1000 2604
IM2606=中证1000 2606
IM2609=中证1000 2609
IM9999=中证1000 主连
IMLX0=中证1000 当月
IMLX1=中证1000 下月
IMLX2=中证1000 下季
IMLX3=中证1000 隔季
T2606=十年国债2606
T2609=十年国债2609
T2612=十年国债2612
T9999=十年国债主连
TF2606=五年国债2606
TF2609=五年国债2609
TF2612=五年国债2612
TF9999=五年国债主连
TFLX0=五年国债当季
TFLX1=五年国债下季
TFLX2=五年国债隔季
TL2606=三十年国债2606
TL2609=三十年国债2609
TL2612=三十年国债2612
TL9999=三十年国债主连
TLLX0=三十年国债当季
TLLX1=三十年国债下季
TLLX2=三十年国债隔季
TLX0=十年国债当季
TLX1=十年国债下季
TLX2=十年国债隔季
TS2606=二年国债2606
TS2609=二年国债2609
TS2612=二年国债2612
TS9999=二年国债主连
TSLX0=二年国债当季
TSLX1=二年国债下季
TSLX2=二年国债隔季
[name_128_130]
AFGBW=沪深300 2603购4300|IO2603-C-4300@s
AFGBX=沪深300 2603购4350|IO2603-C-4350@s
AFGBY=沪深300 2603购4400|IO2603-C-4400@s
AFGBZ=沪深300 2603购4450|IO2603-C-4450@s
AFGBa=沪深300 2603购5100|IO2603-C-5100@s
AFGBc=沪深300 2603购5200|IO2603-C-5200@s
AFGBe=沪深300 2603购5300|IO2603-C-5300@s
AFGBg=沪深300 2603购5400|IO2603-C-5400@s
AGeB0=沪深300 2604购4500|IO2604-C-4500@s
AGeB1=沪深300 2604购4550|IO2604-C-4550@s
AGeB2=沪深300 2604购4600|IO2604-C-4600@s
AGeB3=沪深300 2604购4650|IO2604-C-4650@s
AGeB4=沪深300 2604购4700|IO2604-C-4700@s
AGeB5=沪深300 2604购4750|IO2604-C-4750@s
AGeB6=沪深300 2604购4800|IO2604-C-4800@s
AGeB7=沪深300 2604购4850|IO2604-C-4850@s
AGeB8=沪深300 2604购4900|IO2604-C-4900@s
AGeB9=沪深300 2604购4950|IO2604-C-4950@s
AGeB@=沪深300 2604购5000|IO2604-C-5000@s
AGeBS=沪深300 2604购4100|IO2604-C-4100@s
AGeBT=沪深300 2604购4150|IO2604-C-4150@s
AGeBU=沪深300 2604购4200|IO2604-C-4200@s
AGeBV=沪深300 2604购4250|IO2604-C-4250@s
AGeBW=沪深300 2604购4300|IO2604-C-4300@s
AGeBX=沪深300 2604购4350|IO2604-C-4350@s
AGeBY=沪深300 2604购4400|IO2604-C-4400@s
AGeBZ=沪深300 2604购4450|IO2604-C-4450@s
AGeBa=沪深300 2604购5100|IO2604-C-5100@s
AGeBc=沪深300 2604购5200|IO2604-C-5200@s
AGeBe=沪深300 2604购5300|IO2604-C-5300@s
AIOB0=沪深300 2605购4500|IO2605-C-4500@s
AIOB1=沪深300 2605购4550|IO2605-C-4550@s
AIOB2=沪深300 2605购4600|IO2605-C-4600@s
AIOB3=沪深300 2605购4650|IO2605-C-4650@s
AIOB4=沪深300 2605购4700|IO2605-C-4700@s
AIOB5=沪深300 2605购4750|IO2605-C-4750@s
AIOB6=沪深300 2605购4800|IO2605-C-4800@s
AIOB7=沪深300 2605购4850|IO2605-C-4850@s
AIOB8=沪深300 2605购4900|IO2605-C-4900@s
AIOB9=沪深300 2605购4950|IO2605-C-4950@s
AIOB@=沪深300 2605购5000|IO2605-C-5000@s
AIOBS=沪深300 2605购4100|IO2605-C-4100@s
AIOBT=沪深300 2605购4150|IO2605-C-4150@s
AIOBU=沪深300 2605购4200|IO2605-C-4200@s
AIOBV=沪深300 2605购4250|IO2605-C-4250@s
AIOBW=沪深300 2605购4300|IO2605-C-4300@s
AIOBX=沪深300 2605购4350|IO2605-C-4350@s
AIOBY=沪深300 2605购4400|IO2605-C-4400@s
AIOBZ=沪深300 2605购4450|IO2605-C-4450@s
AIOBa=沪深300 2605购5100|IO2605-C-5100@s
AIOBc=沪深300 2605购5200|IO2605-C-5200@s
AIOBe=沪深300 2605购5300|IO2605-C-5300@s
AJmB0=沪深300 2606购4500|IO2606-C-4500@s
AJmB2=沪深300 2606购4600|IO2606-C-4600@s
AJmB4=沪深300 2606购4700|IO2606-C-4700@s
AJmB6=沪深300 2606购4800|IO2606-C-4800@s
AJmB8=沪深300 2606购4900|IO2606-C-4900@s
AJmB@=沪深300 2606购5000|IO2606-C-5000@s
AJmBE=沪深300 2606购3400|IO2606-C-3400@s
AJmBG=沪深300 2606购3500|IO2606-C-3500@s
AJmBI=沪深300 2606购3600|IO2606-C-3600@s
AJmBK=沪深300 2606购3700|IO2606-C-3700@s
AJmBM=沪深300 2606购3800|IO2606-C-3800@s
AJmBO=沪深300 2606购3900|IO2606-C-3900@s
AJmBQ=沪深300 2606购4000|IO2606-C-4000@s
AJmBS=沪深300 2606购4100|IO2606-C-4100@s
AJmBU=沪深300 2606购4200|IO2606-C-4200@s
AJmBW=沪深300 2606购4300|IO2606-C-4300@s
